Provider: Robinhood Crypto LLC,,,
Disclaimer: ,,,,
,,,,
,,,,
,,,,
,,,,
ASSET NAME,RECEIVED DATE,COST BASIS(USD),DATE SOLD,PROCEEDS
BTC,04/01/19,2001.75,04/02/19,2021.23
BTC,04/03/19,1052.60,04/05/19,1057.83
BTC,04/03/19,779.20,04/05/19,783.07
BTC,04/03/19,2068.20,04/05/19,2078.49
BTC,03/01/19,43.00,04/01/19,46.35
BTC,04/02/19,999.71,04/03/19,1053.90
BTC,04/02/19,1000.00,04/03/19,1046.55
BTC,04/11/19,2502.00,04/23/19,2644.21
BTC,04/09/19,327.89,04/23/19,345.86
BTC,04/09/19,2500.00,04/23/19,2647.20
BTC,04/06/19,2000.00,04/08/19,2110.73
BTC,05/11/19,1483.10,05/11/19,1590.71
BTC,05/11/19,1308.78,05/11/19,1409.59
BTC,04/25/19,689.00,05/08/19,815.78
BTC,04/29/19,5071.00,05/08/19,5897.89
BTC,05/14/19,845.47,05/26/19,893.38
BTC,05/16/19,2068.35,05/26/19,2149.47
BTC,05/14/19,983.55,05/26/19,1042.49
BTC,05/14/19,1028.00,05/26/19,1100.23
BTC,05/13/19,525.44,05/14/19,556.16
BTC,05/14/19,1500.00,05/14/19,1560.75
BTC,05/14/19,1671.56,05/16/19,1743.29
BTC,05/14/19,411.97,05/16/19,427.46
BTC,05/13/19,804.74,05/13/19,888.32
BTC,05/12/19,2000.00,05/13/19,2188.02
BTC,05/14/19,969.04,05/16/19,992.05
BTC,05/14/19,2588.03,05/16/19,2679.85
BTC,05/11/19,580.65,05/11/19,630.84
BTC,05/11/19,968.36,05/11/19,1047.69
BTC,05/11/19,4419.35,05/11/19,4801.33
BTC,05/11/19,48.54,05/11/19,52.43
BTC,05/11/19,6131.99,05/12/19,6219.28
BTC,05/14/19,569.53,05/16/19,609.40
BTC,05/14/19,328.44,05/16/19,342.95
BTC,05/14/19,2000.00,05/16/19,2112.65
BTC,05/11/19,2341.52,05/13/19,2438.14
BTC,05/11/19,1230.08,05/13/19,1264.28
BTC,05/16/19,4242.77,05/26/19,4468.95
BTC,05/16/19,1231.65,05/26/19,1282.74
BTC,05/16/19,4000.00,05/26/19,4187.07
BTC,05/13/19,1518.80,05/14/19,1556.96
BTC,05/11/19,1095.00,05/11/19,1164.35
BTC,05/11/19,0.11,05/11/19,0.10
BTC,05/11/19,1691.22,05/11/19,1849.90
BTC,05/13/19,1474.56,05/14/19,1557.34
BTC,05/13/19,1000.00,05/14/19,1051.54
BTC,05/13/19,481.20,05/14/19,493.41
BTC,05/14/19,3000.00,05/15/19,2989.71
BTC,05/14/19,3000.00,05/15/19,2998.89
BTC,05/14/19,1147.03,05/15/19,1149.15
BTC,05/20/19,3083.00,05/26/19,3363.30
BTC,05/16/19,1500.00,05/26/19,1594.42
BTC,05/16/19,2235.93,05/26/19,2364.25
BTC,05/19/19,1070.00,05/26/19,1122.96
BTC,05/12/19,2100.00,05/13/19,2211.98
BTC,05/11/19,658.48,05/13/19,688.82
BTC,05/12/19,2795.25,05/13/19,2973.14
BTC,05/12/19,204.75,05/13/19,217.77
BTC,05/12/19,500.00,05/13/19,528.64
BTC,06/22/19,1011.29,06/25/19,1056.15
BTC,05/29/19,926.98,06/21/19,1034.76
BTC,05/29/19,272.65,06/25/19,356.46
BTC,06/03/19,2000.00,06/25/19,2672.62
BTC,06/03/19,1500.00,06/25/19,1980.88
BTC,06/02/19,3000.00,06/25/19,3871.86
BTC,05/29/19,1777.33,06/25/19,2323.61
BTC,05/29/19,4000.00,06/25/19,5282.35
BTC,06/03/19,1000.00,06/25/19,1305.23
BTC,06/22/19,7657.12,06/25/19,7849.43
BTC,06/22/19,2500.00,06/25/19,2562.78
BTC,06/22/19,5000.00,06/25/19,5172.81
BTC,06/22/19,866.88,06/25/19,888.65
BTC,06/22/19,1565.20,06/25/19,1623.79
BTC,06/22/19,216.40,06/25/19,228.30
BTC,06/22/19,216.40,06/25/19,228.30
BTC,06/22/19,216.40,06/25/19,228.30
BTC,06/22/19,216.40,06/25/19,228.30
BTC,06/22/19,216.40,06/25/19,228.30
BTC,06/22/19,138.68,06/25/19,146.31
BTC,06/22/19,23.62,06/25/19,24.91
BTC,06/22/19,216.40,06/25/19,228.30
BTC,06/22/19,216.40,06/25/19,228.30
BTC,06/22/19,216.40,06/25/19,228.30
BTC,06/22/19,216.40,06/25/19,228.30
BTC,06/22/19,70.49,06/25/19,75.11
BTC,06/22/19,313.61,06/25/19,333.55
BTC,06/24/19,2067.00,06/25/19,2242.50
BTC,06/22/19,4713.51,06/25/19,5019.02
BTC,06/22/19,2500.00,06/25/19,2738.09
BTC,06/22/19,216.00,06/25/19,230.37
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,81.52,06/25/19,105.60
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,171.72,06/25/19,222.46
BTC,05/29/19,293.08,06/20/19,323.07
BTC,05/29/19,205.01,06/20/19,225.98
BTC,05/29/19,430.00,06/20/19,474.00
BTC,05/29/19,925.89,06/20/19,1022.78
BTC,05/29/19,802.92,06/23/19,1038.01
BTC,05/29/19,585.70,06/23/19,750.36
BTC,05/29/19,219.04,06/23/19,280.17
BTC,06/25/19,232.00,07/03/19,227.51
BTC,06/26/19,1521.64,07/03/19,1302.22
BTC,06/26/19,1115.00,07/03/19,954.02
BTC,06/26/19,1171.89,07/03/19,1002.05
BTC,06/26/19,874.30,07/03/19,745.81
BTC,06/26/19,5000.00,07/03/19,4338.08
BTC,06/26/19,323.73,07/03/19,274.55
BTC,06/26/19,2000.00,07/03/19,1764.19
BTC,06/26/19,25000.00,07/03/19,21690.40
BTC,06/26/19,10000.00,07/03/19,8827.78
BTC,06/26/19,4000.00,07/03/19,3486.43
BTC,06/25/19,2768.00,07/03/19,2712.11
BTC,06/26/19,1500.00,07/03/19,1291.56
ETH,05/17/19,1000.00,05/18/19,1106.66
